,humidity,precipMM,tempC,windspeedKmph,HeatIndexC
0,72,0.0,18,5,18
1,72,0.0,19,4,19
2,72,0.0,18,4,18
3,72,0.0,18,4,18
4,68,0.0,20,4,20
5,64,0.0,21,5,24
6,59,0.0,21,5,24
7,51,0.0,23,6,25
8,42,0.0,24,7,26
9,33,0.0,28,8,28
10,32,0.0,29,6,29
11,30,0.0,30,5,30
12,29,0.0,30,3,30
13,35,0.0,30,3,30
14,41,0.0,28,3,28
15,47,0.0,28,3,28
16,53,0.0,27,3,27
17,59,0.0,26,3,26
18,64,0.0,24,4,25
19,66,0.0,22,4,25
20,67,0.0,22,4,25
21,68,0.0,22,4,25
22,70,0.0,22,3,24
23,71,0.0,21,3,24
24,72,0.0,21,3,21
25,72,0.0,21,4,24
26,71,0.0,21,6,24
27,71,0.0,21,7,24
28,69,0.0,21,6,21
29,68,0.0,21,6,24
30,66,0.0,22,6,24
31,58,0.0,23,6,25
32,50,0.0,24,7,26
33,42,0.0,27,8,28
34,40,0.0,29,6,29
35,38,0.0,30,4,30
36,36,0.0,30,3,31
37,43,0.0,30,3,31
38,50,0.0,28,2,29
39,57,0.0,27,2,28
40,58,0.0,27,2,28
41,60,0.0,26,2,27
42,61,0.0,24,2,26
43,61,0.0,24,3,26
44,61,0.0,24,3,25
45,62,0.0,24,4,25
46,61,0.0,22,4,25
47,60,0.0,22,5,25
48,59,0.0,23,5,25
49,62,0.0,23,5,25
50,65,0.0,22,6,25
51,68,0.0,21,6,21
52,65,0.0,22,7,25
53,62,0.0,21,7,24
54,59,0.0,21,8,21
55,52,0.0,22,8,24
56,45,0.0,24,9,26
57,38,0.0,27,9,27
58,36,0.0,28,9,28
59,34,0.0,29,8,30
60,32,0.0,30,8,30
61,37,0.0,30,7,30
62,41,0.0,29,7,29
63,46,0.0,28,7,28
64,50,0.0,27,7,28
65,55,0.0,26,6,27
66,59,0.0,24,5,26
67,59,0.0,23,6,25
68,60,0.0,22,6,25
69,60,0.0,22,6,24
70,62,0.0,21,6,24
71,63,0.0,21,6,21
72,65,0.0,20,6,20
73,66,0.0,20,6,20
74,68,0.0,20,6,20
75,69,0.0,19,5,19
76,68,0.0,20,6,20
77,66,0.0,19,7,19
78,65,0.0,19,8,19
79,56,0.0,21,8,21
80,47,0.0,23,9,25
81,38,0.0,26,9,27
82,34,0.0,28,9,28
83,31,0.0,29,9,29
84,28,0.0,30,10,29
85,32,0.0,30,9,29
86,36,0.0,29,9,28
87,41,0.0,28,8,27
88,45,0.0,27,7,27
89,49,0.0,26,6,26
90,53,0.0,24,5,25
91,54,0.0,23,6,25
92,55,0.0,23,7,25
93,56,0.0,22,8,25
94,57,0.0,21,8,21
95,57,0.0,20,8,20
96,58,0.0,20,7,20
97,61,0.0,19,7,19
98,64,0.0,19,8,19
99,66,0.0,19,8,19
100,65,0.0,18,8,18
101,63,0.0,19,8,19
102,62,0.0,19,9,19
103,54,0.0,20,9,20
104,47,0.0,23,10,25
105,39,0.0,26,10,26
106,36,0.0,27,10,27
107,33,0.0,28,9,28
108,29,0.0,29,8,29
109,34,0.0,30,8,29
110,38,0.0,28,7,28
111,43,0.0,27,6,27
112,46,0.0,27,6,27
113,50,0.0,26,7,26
114,53,0.0,24,7,25
115,53,0.0,22,7,24
116,54,0.0,22,7,24
117,54,0.0,21,6,24
118,56,0.0,21,7,21
119,57,0.0,20,7,20
120,58,0.0,20,7,20
121,60,0.0,20,7,20
122,62,0.0,19,7,19
123,63,0.0,18,6,18
124,62,0.0,19,7,19
125,61,0.0,19,8,19
