humidity,precipMM,tempC
72,0,18
72,0,19
72,0,18
72,0,18
68,0,20
64,0,21
59,0,21
51,0,23
42,0,24
33,0,28
32,0,29
30,0,30
29,0,30
35,0,30
41,0,28
47,0,28
53,0,27
59,0,26
64,0,24
66,0,22
67,0,22
68,0,22
70,0,22
71,0,21
72,0,21
72,0,21
71,0,21
71,0,21
69,0,21
68,0,21
66,0,22
58,0,23
50,0,24
42,0,27
40,0,29
38,0,30
36,0,30
43,0,30
50,0,28
57,0,27
58,0,27
60,0,26
61,0,24
61,0,24
61,0,24
62,0,24
61,0,22
60,0,22
59,0,23
62,0,23
65,0,22
68,0,21
65,0,22
62,0,21
59,0,21
52,0,22
45,0,24
38,0,27
36,0,28
34,0,29
32,0,30
37,0,30
41,0,29
46,0,28
50,0,27
55,0,26
59,0,24
59,0,23
60,0,22
60,0,22
62,0,21
63,0,21
65,0,20
66,0,20
68,0,20
69,0,19
68,0,20
66,0,19
65,0,19
56,0,21
47,0,23
38,0,26
34,0,28
31,0,29
28,0,30
32,0,30
36,0,29
41,0,28
45,0,27
49,0,26
53,0,24
54,0,23
55,0,23
56,0,22
57,0,21
57,0,20
58,0,20
61,0,19
64,0,19
66,0,19
65,0,18
63,0,19
62,0,19
54,0,20
47,0,23
39,0,26
36,0,27
33,0,28
29,0,29
34,0,30
38,0,28
43,0,27
46,0,27
50,0,26
53,0,24
53,0,22
54,0,22
54,0,21
56,0,21
57,0,20
58,0,20
60,0,20
62,0,19
63,0,18
62,0,19
61,0,19
59,0,19
52,0,20
45,0,23
39,0,26
36,0,27
33,0,29
30,0,30
35,0,30
39,0,29
44,0,27
48,0,27
52,0,26
56,0,24
57,0,23
58,0,21
60,0,21
61,0,21
62,0,20
63,0,20
64,0,20
64,0,19
65,0,19
64,0,20
63,0,19
63,0,19
56,0,20
50,0,23
44,0,25
41,0,27
38,0,28
35,0,29
39,0,29
42,0,28
46,0,28
47,0,27
48,0,26
49,0,25
48,0,23
47,0,22
47,0,21
45,0,21
43,0,20
42,0,20
43,0,19
44,0,19
46,0,18
45,0,19
45,0,20
44,0,20
42,0,21
39,0,23
36,0,25
32,0,27
28,0,28
24,0,29
27,0,29
29,0,28
31,0,28
34,0,27
36,0,25
39,0,24
39,0,22
39,0,22
39,0,21
